soil_OID,meteo_id,rot_id,orgN_kreise,profile_0_SOC,thickness_0,Nlayers_0,profile_1_SOC,thickness_1,Nlayers_1,profile_2_SOC,thickness_2,Nlayers_2,profile_3_SOC,thickness_3,Nlayers_3,profile_4_SOC,thickness_4,Nlayers_4
110,"(77, 378)",5130,135.0,1.11,0.3,3,0.276,1.4,14,0.276,0.30000000000000004,3
8,"(77, 373)",6110,140.0,1.11,0.3,3,0.45599999999999996,0.39999999999999997,4,0.276,1.0,10,0.276,0.5999999999999999,6
10,"(78, 375)",3110,129.0,1.428,0.3,3,0.024,0.8999999999999999,9,0.024,0.9000000000000001,9
7,"(77, 376)",2120,116.0,1.56,0.2,2,0.10200000000000001,1.6,16,0.10200000000000001,0.40000000000000013,4
20,"(78, 375)",6130,135.0,1.212,0.3,3,0.828,0.2,2,0.192,0.7,7,0.162,0.9000000000000001,9
18,"(78, 375)",4120,135.0,1.44,0.3,3,0.39,0.39999999999999997,4,0.10200000000000001,1.4000000000000001,14
112,"(76, 372)",6130,132.0,1.26,0.3,3,0.672,0.3,3,0.186,0.6,6,0.03,0.9000000000000001,9
23,"(76, 372)",8120,137.0,1.26,0.3,3,0.11399999999999999,0.6000000000000001,6,0.054,1.1,11
20,"(78, 375)",4110,135.0,1.212,0.3,3,0.828,0.2,2,0.162,1.6,16
22,"(77, 377)",6110,107.0,1.152,0.3,3,0.186,1.3,13
28,"(76, 372)",8130,70.0,1.296,0.3,3,0.45599999999999996,0.3,3,0.276,1.5,15
5,"(78, 376)",4110,116.0,1.38,0.3,3,0.6,0.2,2,0.03,0.09999999999999998,1
20,"(78, 374)",2130,191.0,1.212,0.3,3,0.3,0.39999999999999997,4,0.192,0.7,7,0.162,0.7000000000000002,7
21,"(78, 376)",2120,116.0,1.308,0.3,3,0.672,0.3,3,0.186,0.4,4,0.03,1.0,10
50,"(77, 376)",6120,107.0,0.96,0.3,3,0.006,0.3,3
18,"(78, 374)",6130,191.0,1.44,0.3,3,0.10200000000000001,1.7,17
8,"(77, 373)",6130,140.0,1.11,0.3,3,0.45599999999999996,0.39999999999999997,4,0.276,1.0,10,0.276,0.5999999999999999,6
15,"(78, 377)",5110,155.0,1.044,0.3,3,0.39,0.3,3,0.11399999999999999,0.7000000000000001,7,0.054,0.8,8
20,"(76, 376)",7110,102.0,1.212,0.3,3,0.192,0.6000000000000001,6,0.162,1.1,11
53,"(77, 373)",6130,140.0,4.62,0.3,3,3.0900000000000003,0.2,2,0.186,0.5,5,0.03,1.0,10
18,"(78, 375)",4110,135.0,1.44,0.3,3,0.39,0.39999999999999997,4,0.10200000000000001,1.4000000000000001,14
3,"(77, 375)",6120,129.0,1.47,0.3,3,0.186,1.0,10,0.10200000000000001,0.8,8
20,"(75, 372)",9110,70.0,1.212,0.3,3,0.162,1.8,18
20,"(78, 375)",6120,102.0,1.212,0.3,3,0.3,0.39999999999999997,4,0.162,1.3,13
3,"(77, 377)",5110,111.0,1.47,0.2,2,0.186,0.8,8,0.10200000000000001,1.1,11
9,"(75, 373)",9130,91.0,1.3259999999999998,0.3,3,0.186,1.0999999999999999,11,0.03,0.6000000000000001,6
53,"(78, 375)",4110,135.0,4.62,0.3,3,0.186,0.6000000000000001,6,0.03,1.1,11
7,"(78, 374)",6110,191.0,1.56,0.3,3,0.39,0.39999999999999997,4,0.186,0.8,8,0.10200000000000001,0.6000000000000001,6
15,"(75, 374)",6110,42.0,1.044,0.3,3,0.39,0.39999999999999997,4,0.054,1.3,13
20,"(75, 373)",8130,91.0,1.212,0.3,3,0.3,0.3,3,0.192,0.7000000000000001,7,0.162,0.8,8
53,"(78, 375)",2110,193.0,4.62,0.3,3,0.186,0.6000000000000001,6,0.03,1.1,11
20,"(77, 376)",6110,116.0,1.212,0.3,3,0.828,0.2,2,0.192,1.0,10,0.162,0.6000000000000001,6
5,"(77, 377)",7120,107.0,1.38,0.2,2,0.03,0.39999999999999997,4
5,"(77, 374)",6110,93.0,1.38,0.3,3,3.0900000000000003,0.2,2,0.186,0.6000000000000001,6,0.03,1.0,10
23,"(78, 377)",1130,101.0,1.26,0.3,3,0.11399999999999999,1.0,10,0.054,0.8,8
12,"(77, 373)",6110,121.0,1.38,0.3,3,0.10200000000000001,1.4,14,0.10200000000000001,0.5000000000000002,5
15,"(77, 374)",5120,96.0,1.044,0.3,3,0.39,0.5,5,0.11399999999999999,0.5,5,0.054,0.8,8
58,"(77, 372)",6110,102.0,1.02,0.3,3,0.33,0.3,3,0.21,1.0,10,0.216,0.6000000000000001,6
7,"(77, 373)",6130,132.0,1.56,0.3,3,0.186,0.8,8,0.10200000000000001,0.8999999999999999,9
58,"(78, 375)",3110,140.0,1.02,0.3,3,0.33,0.5,5,0.216,0.8999999999999999,9
12,"(78, 374)",6110,191.0,1.38,0.3,3,0.39,0.39999999999999997,4,0.186,0.8,8,0.10200000000000001,0.6000000000000001,6
