like1,parPartSOM_Fast_to_SOM_Slow_soil,parSOM_FastDecCoeffStandard_soil,parPartSMB_Fast_to_SOM_Fast_soil,parPartSMB_Slow_to_SOM_Fast_soil,parAOM_SlowDecCoeffStandard_fert,parSOM_SlowDecCoeffStandard_soil,parAOM_SlowUtilizationEfficiency_,simulation_0,simulation_1,simulation_2,simulation_3,simulation_4,simulation_5,simulation_6,simulation_7,simulation_8,simulation_9,simulation_10,simulation_11,simulation_12,simulation_13,simulation_14,simulation_15,simulation_16,simulation_17,simulation_18,simulation_19,simulation_20,simulation_21,simulation_22,simulation_23,simulation_24,simulation_25,simulation_26,simulation_27,simulation_28,simulation_29,simulation_30,simulation_31,simulation_32,simulation_33,simulation_34,simulation_35,simulation_36,simulation_37,simulation_38,simulation_39,simulation_40,simulation_41,simulation_42,simulation_43,simulation_44,simulation_45,simulation_46,simulation_47,simulation_48,simulation_49,simulation_50,simulation_51,simulation_52,simulation_53,simulation_54,simulation_55,simulation_56,simulation_57,simulation_58,simulation_59,simulation_60,simulation_61,simulation_62,simulation_63,simulation_64,simulation_65,simulation_66,simulation_67,simulation_68,simulation_69,simulation_70,simulation_71,simulation_72,simulation_73,simulation_74,simulation_75,simulation_76,simulation_77,simulation_78,simulation_79,simulation_80,simulation_81,simulation_82,simulation_83,simulation_84,simulation_85,simulation_86,simulation_87,simulation_88,simulation_89,simulation_90,simulation_91,simulation_92,simulation_93,simulation_94,chain
-1.5566,0.36255,0.00018823,0.84375,0.77441,0.00021136,5.573e-05,0.56738,0.55273,0.53271,0.52539,0.51025,0.49927,0.48926,0.48096,0.48047,0.47461,0.46045,0.45337,0.45044,0.44604,0.44824,0.4563,0.42017,0.40576,0.39575,0.38403,0.55664,0.5376,0.53711,0.52295,0.50928,0.49805,0.48901,0.49585,0.49048,0.48315,0.47363,0.47778,0.47998,0.4978,0.51074,0.47485,0.45605,0.46289,0.44702,0.59326,0.58447,0.59521,0.5874,0.59521,0.58203,0.58545,0.59668,0.59619,0.57959,0.56982,0.57178,0.57471,0.60156,0.58789,0.60547,0.58447,0.59814,0.55957,0.59082,0.60791,0.63623,0.63477,0.65625,0.6377,0.65381,0.67871,0.69189,0.66113,0.6543,0.65039,0.65576,0.69287,0.6543,0.73047,0.71729,0.73389,0.65234,0.604,0.58398,0.59131,0.57568,0.5625,0.55127,0.54346,0.55322,0.55615,0.54883,0.53369,0.54102,0.54297,0.56104,0.5625,0.54346,0.52344,0.53467,0.52344,0.0
-1.7314,0.24536,0.00017226,0.57275,0.67236,0.00021827,5.3346e-05,0.27271,0.5459,0.51709,0.50391,0.48389,0.47192,0.46045,0.45044,0.44727,0.43579,0.42114,0.41235,0.40845,0.40063,0.39966,0.38818,0.36182,0.34448,0.3313,0.31641,0.5459,0.51318,0.50537,0.48364,0.46997,0.45825,0.44824,0.45215,0.43823,0.4292,0.41626,0.41895,0.41382,0.42212,0.4104,0.38013,0.3584,0.35645,0.33618,0.58105,0.55469,0.55615,0.53955,0.54639,0.53223,0.53418,0.5415,0.53125,0.51221,0.49707,0.49707,0.49219,0.50928,0.48096,0.48511,0.45947,0.46265,0.4126,0.5791,0.57861,0.59668,0.58594,0.60596,0.58545,0.59961,0.62012,0.62256,0.58789,0.57471,0.56836,0.56592,0.59277,0.53809,0.59814,0.57568,0.58008,0.48584,0.59033,0.55566,0.5542,0.52979,0.51611,0.50439,0.49487,0.50195,0.49561,0.48657,0.46631,0.47192,0.46704,0.47632,0.46411,0.43286,0.40869,0.41089,0.38965,1.0
-1.4287,0.32666,0.00015855,0.95605,0.62988,0.00017524,6.2943e-05,0.40649,0.5498,0.52588,0.51611,0.49854,0.48706,0.47607,0.46655,0.4646,0.45557,0.44141,0.43335,0.42969,0.42358,0.42407,0.41479,0.39014,0.37402,0.36206,0.34839,0.55225,0.52686,0.52295,0.50537,0.49146,0.47974,0.47021,0.47534,0.46582,0.45752,0.44629,0.44946,0.44751,0.45996,0.4541,0.42896,0.40845,0.41064,0.39307,0.58789,0.57178,0.57861,0.56738,0.5752,0.56152,0.56494,0.57422,0.56982,0.55273,0.54053,0.54199,0.5415,0.56396,0.54443,0.55664,0.53467,0.54395,0.50098,0.58545,0.59619,0.62061,0.61621,0.63818,0.61963,0.63525,0.65918,0.66895,0.63818,0.62891,0.625,0.62793,0.66113,0.6167,0.68896,0.67383,0.68701,0.60156,0.59766,0.57178,0.57568,0.55615,0.54248,0.53076,0.52246,0.53076,0.5293,0.52148,0.50439,0.51074,0.50928,0.52344,0.51904,0.49414,0.47241,0.47925,0.46362,2.0
-1.5117,0.31592,0.00018907,0.7334,0.69141,0.00011808,3.1114e-05,0.28638,0.55225,0.5332,0.52637,0.5127,0.50488,0.49707,0.49072,0.48999,0.48242,0.47192,0.46582,0.46387,0.45898,0.45996,0.45264,0.43433,0.42236,0.41406,0.40332,0.55322,0.53125,0.5293,0.51465,0.50488,0.49658,0.48999,0.49731,0.4873,0.48242,0.47192,0.47705,0.47559,0.48779,0.48047,0.45898,0.44238,0.44604,0.43042,0.58984,0.57471,0.58398,0.57471,0.58643,0.57666,0.5835,0.59521,0.58984,0.57666,0.56543,0.56885,0.56885,0.59131,0.56982,0.58594,0.56836,0.58008,0.53711,0.5874,0.59912,0.62549,0.62354,0.64893,0.63428,0.65381,0.67969,0.68896,0.6626,0.65381,0.65283,0.65625,0.68994,0.64404,0.72119,0.70996,0.72656,0.64209,0.59863,0.57568,0.58154,0.56494,0.55518,0.54736,0.54248,0.55322,0.55127,0.54688,0.53027,0.53906,0.53809,0.55225,0.5459,0.52539,0.50732,0.51611,0.50098,0.0
-1.5586,0.41284,0.00016153,0.57275,0.36572,0.00010878,5.1141e-05,0.15808,0.54834,0.52295,0.51172,0.4939,0.48364,0.47412,0.46558,0.46313,0.45166,0.43872,0.43066,0.42749,0.41992,0.4187,0.40747,0.38184,0.36523,0.35205,0.33716,0.54785,0.5166,0.51025,0.48999,0.47852,0.46875,0.46021,0.46509,0.4502,0.44287,0.42969,0.43335,0.42749,0.43457,0.4209,0.39014,0.36914,0.3667,0.34546,0.58301,0.55762,0.56055,0.5459,0.55615,0.54443,0.54883,0.55811,0.54736,0.53174,0.51709,0.51855,0.51416,0.53076,0.50098,0.50781,0.48511,0.4895,0.43921,0.58105,0.58252,0.60254,0.59473,0.61865,0.60205,0.61914,0.64258,0.64648,0.61719,0.60547,0.60205,0.60107,0.62939,0.5752,0.64258,0.62549,0.63525,0.54395,0.5918,0.55908,0.55908,0.53662,0.52539,0.51611,0.50928,0.51709,0.51025,0.50342,0.4834,0.49023,0.48511,0.49365,0.47925,0.44922,0.42627,0.42822,0.40601,1.0
-1.4463,0.29834,0.000108,0.52881,0.51563,0.00013947,3.7432e-05,0.35156,0.55322,0.53467,0.52734,0.51367,0.50488,0.49683,0.49023,0.48926,0.4812,0.46997,0.46313,0.46094,0.45557,0.45654,0.44751,0.42676,0.4126,0.40259,0.39014,0.55518,0.53223,0.53027,0.51514,0.50439,0.49585,0.48901,0.49609,0.48584,0.47998,0.46924,0.47363,0.47168,0.4834,0.47461,0.4502,0.43164,0.43384,0.4165,0.59131,0.57568,0.58398,0.57422,0.58447,0.57422,0.58008,0.59131,0.58545,0.5708,0.55859,0.56152,0.56055,0.58252,0.55859,0.5708,0.55029,0.55957,0.51465,0.58838,0.59961,0.625,0.62158,0.64551,0.62939,0.64795,0.67285,0.68115,0.65234,0.64307,0.64063,0.64258,0.67529,0.62695,0.69824,0.68311,0.69629,0.60938,0.60059,0.57617,0.58203,0.56445,0.55371,0.54541,0.54004,0.55029,0.54834,0.54297,0.52539,0.53369,0.53223,0.54541,0.5376,0.51318,0.49292,0.5,0.48267,2.0
-2.0879,0.089783,0.00015604,0.50928,0.73486,0.00018275,4.0293e-05,0.30884,0.54297,0.50977,0.49487,0.47192,0.45801,0.44482,0.43335,0.42944,0.41675,0.40063,0.39087,0.38623,0.37744,0.37622,0.36328,0.33521,0.31665,0.30298,0.28735,0.54297,0.50635,0.49634,0.47217,0.45679,0.44312,0.43164,0.43433,0.41968,0.40918,0.39551,0.39746,0.3916,0.39941,0.38696,0.35498,0.33203,0.32935,0.30859,0.57813,0.54785,0.54736,0.52832,0.53369,0.51758,0.51807,0.52441,0.51367,0.49316,0.47754,0.47705,0.47168,0.48853,0.45996,0.46289,0.43628,0.43921,0.38916,0.57617,0.57227,0.58838,0.57568,0.59424,0.57227,0.58496,0.60449,0.60693,0.57178,0.55811,0.55176,0.54883,0.57568,0.52148,0.58105,0.55811,0.56299,0.46948,0.5874,0.54834,0.54492,0.51807,0.50244,0.48877,0.47803,0.48389,0.47681,0.46606,0.44556,0.45044,0.44482,0.45361,0.44092,0.40796,0.38281,0.38452,0.36304,0.0
-1.4775,0.32788,0.00017738,0.45605,0.6582,0.00021338,3.0518e-05,0.4563,0.5542,0.53711,0.53076,0.51807,0.50977,0.50195,0.49609,0.49634,0.48975,0.479,0.4729,0.47119,0.46729,0.46948,0.46265,0.44409,0.43213,0.42432,0.41406,0.55762,0.53662,0.53613,0.52246,0.51172,0.50342,0.49683,0.50488,0.49707,0.49194,0.48218,0.4873,0.48779,0.50195,0.49634,0.47485,0.45776,0.46436,0.44824,0.59326,0.58057,0.59082,0.58203,0.5918,0.58105,0.58643,0.59814,0.59424,0.5791,0.56787,0.57031,0.57129,0.59473,0.57422,0.58789,0.56689,0.57813,0.53516,0.59033,0.60352,0.63037,0.62744,0.6499,0.63281,0.6499,0.6748,0.68359,0.65283,0.64355,0.64014,0.64258,0.67578,0.62939,0.69873,0.68213,0.69434,0.60742,0.60303,0.58105,0.58838,0.57227,0.56152,0.55322,0.54736,0.55908,0.55859,0.55371,0.53711,0.54541,0.5459,0.56152,0.55664,0.53516,0.51611,0.52637,0.51172,1.0
-1.4082,0.31494,0.0001266,0.62354,0.42334,0.00023794,4.6909e-05,0.32788,0.55078,0.52832,0.51904,0.50244,0.49243,0.48291,0.47461,0.4729,0.46362,0.45044,0.44287,0.4397,0.43335,0.43335,0.42285,0.39917,0.3833,0.37158,0.35767,0.55225,0.52539,0.52148,0.50342,0.49146,0.4812,0.4729,0.47876,0.46729,0.45972,0.448,0.45166,0.44824,0.4585,0.44849,0.42065,0.40039,0.40039,0.38135,0.58789,0.56787,0.57373,0.56055,0.56934,0.55664,0.56055,0.56934,0.56152,0.54443,0.53027,0.53125,0.52881,0.54785,0.52197,0.52832,0.50439,0.50977,0.46167,0.58545,0.5918,0.61377,0.60645,0.62793,0.60938,0.62451,0.64697,0.65234,0.61914,0.60742,0.60205,0.60107,0.63037,0.57813,0.64111,0.62012,0.62695,0.53516,0.59717,0.56885,0.57178,0.55127,0.53857,0.52881,0.52148,0.53027,0.52637,0.51855,0.5,0.50684,0.50342,0.51514,0.50488,0.47632,0.45361,0.45825,0.43848,2.0
-1.4248,0.35352,0.0001663,0.68945,0.41699,0.00017452,5.6148e-05,0.48242,0.55078,0.52588,0.51563,0.49756,0.48584,0.47461,0.46533,0.46362,0.45508,0.44019,0.43188,0.42822,0.42261,0.42334,0.41553,0.38794,0.37134,0.35938,0.34521,0.55322,0.52588,0.52148,0.50293,0.48828,0.47632,0.46655,0.47217,0.46265,0.45361,0.44214,0.44507,0.4436,0.45605,0.44897,0.42017,0.39844,0.40088,0.38135,0.58838,0.57031,0.57617,0.56299,0.56934,0.55518,0.55811,0.56787,0.56299,0.54443,0.53223,0.53271,0.53174,0.5542,0.53223,0.54053,0.51611,0.52441,0.47925,0.58643,0.59424,0.61719,0.61084,0.63086,0.61133,0.62646,0.6499,0.65918,0.62646,0.6167,0.61182,0.61377,0.64648,0.59961,0.6665,0.64844,0.65967,0.57178,0.59912,0.57031,0.57324,0.55225,0.5376,0.52588,0.51709,0.52588,0.52441,0.51563,0.4978,0.50391,0.50244,0.51563,0.50928,0.4812,0.45801,0.46411,0.44678,0.0
